Year,TEAM,LEAGUE,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,TBF,NP,P/IP,GF,HLD,IBB,WP,BK,GDP,GO,AO,GO/AO,SO/9,BB/9,K/BB
2003,Chicago Cubs,NL,88,74,3.83,162,162,13,14,36,51,1456.1,1304,683,619,143,71,617,1404,1.32,.241,6227,24150,16.58,149,62,36,63,3,136,1587,1244,1.28,8.68,3.81,2.28
2003,Arizona Diamondbacks,NL,84,78,3.84,162,162,7,11,42,55,1455.0,1379,685,621,150,72,526,1291,1.31,.250,6230,23407,16.09,155,47,53,52,9,106,1672,1286,1.30,7.99,3.25,2.45
2003,Los Angeles Dodgers,NL,85,77,3.16,162,162,3,17,58,66,1457.2,1254,556,511,127,40,526,1289,1.22,.234,6001,22571,15.48,159,79,35,50,5,137,1654,1237,1.34,7.96,3.25,2.45
2003,Boston Red Sox,AL,95,67,4.48,162,162,5,6,36,57,1464.2,1503,809,729,153,76,488,1141,1.36,.263,6355,23473,16.03,157,46,41,44,0,109,1687,1460,1.16,7.01,3.00,2.34
2003,Houston Astros,NL,87,75,3.86,162,162,1,5,50,64,1450.0,1350,677,622,161,74,565,1139,1.32,.248,6176,23449,16.17,161,90,53,40,4,126,1592,1455,1.09,7.07,3.51,2.02
2003,Florida Marlins,NL,91,71,4.04,162,162,7,11,36,49,1445.1,1415,692,648,128,40,530,1132,1.35,.258,6165,23609,16.33,155,48,40,51,11,139,1510,1536,0.98,7.05,3.30,2.14
2003,New York Yankees,AL,101,61,4.02,163,163,8,12,49,67,1462.0,1512,716,653,145,49,375,1119,1.29,.265,6209,23159,15.84,155,57,36,33,0,104,1569,1584,0.99,6.89,2.31,2.98
2003,San Diego Padres,NL,64,98,4.87,162,162,2,10,31,49,1431.1,1458,831,774,208,62,611,1091,1.45,.264,6303,23676,16.54,160,60,52,64,3,112,1597,1482,1.08,6.86,3.84,1.79
2003,Philadelphia Phillies,NL,86,76,4.04,162,162,9,13,33,51,1443.2,1386,697,648,142,77,536,1060,1.33,.253,6195,23024,15.95,153,55,51,53,4,138,1668,1467,1.14,6.61,3.34,1.98
2003,Chicago White Sox,AL,86,76,4.17,162,162,12,4,36,53,1431.0,1364,715,663,162,53,518,1056,1.32,.253,6067,22757,15.90,150,33,30,39,4,135,1529,1546,0.99,6.64,3.26,2.04
2003,Milwaukee Brewers,NL,68,94,5.02,162,162,5,3,44,71,1452.0,1590,873,810,219,61,575,1034,1.49,.279,6459,24047,16.56,157,59,43,57,8,121,1550,1649,0.94,6.41,3.56,1.80
2003,Montreal Expos,NL,83,79,4.01,162,162,15,10,42,60,1437.2,1467,716,640,181,71,463,1028,1.34,.264,6171,23090,16.06,147,67,51,71,4,119,1671,1470,1.14,6.44,2.90,2.22
2003,Oakland Athletics,AL,96,66,3.63,162,162,16,14,48,60,1441.2,1336,643,582,140,54,499,1018,1.27,.246,6078,22837,15.84,146,53,42,41,10,128,1727,1444,1.20,6.36,3.12,2.04
2003,Texas Rangers,AL,71,91,5.67,162,162,4,3,43,63,1433.1,1625,969,903,208,63,603,1009,1.55,.288,6413,24580,17.15,158,74,45,51,8,139,1597,1514,1.05,6.34,3.79,1.67
2003,San Francisco Giants,NL,100,61,3.73,161,161,7,10,43,60,1437.1,1349,638,595,136,43,546,1006,1.32,.250,6090,23057,16.04,154,76,34,68,8,137,1594,1551,1.03,6.30,3.42,1.84
2003,Seattle Mariners,AL,93,69,3.76,162,162,8,15,38,52,1441.0,1340,637,602,173,54,466,1001,1.25,.247,6025,23331,16.19,154,48,24,35,4,131,1390,1774,0.78,6.25,2.91,2.15
